Cancer	TissueType	SampleID	Gene_A	Gene_B	A_chr	A_arm	A_strand	B_chr	B_arm	B_strand	GeneID_A	GeneID_B	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Junction_A	Junction_B	Most_JSR	frame_detail	tx_type	frame	TAF_info	Fusion_A_TAF	Fusion_B_TAF	artifact.A	artifact.B	FusionPair	Freq_FP	ABS_distance	fus.category	FusionType	gene1_left	gene1_right	gene2_left	gene2_right	any_near_peak02	Gene_A_redundancy	Gene_B_redunduncy	tier
BLCA	11	TCGA-GD-A3OQ-11A-21R-A220-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	8	7	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,8	43699407	44249598	8	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.1379_KIAA1267,0.6154	0.1379	0.6154	no	no	CRHR1__KIAA1267	27	550191	Short	Short	0.0027	0.0027	0.0027	0.0027	0	1	1	tier3
BLCA	11	TCGA-GD-A3OQ-11A-21R-A220-07	PCBP1	ERBB3	2	2p	1	12	12q	1	5093	2065	2	2	2	1	YES	PCBP1:2:70316332_ERBB3:12:56492035,2	70316332	56492035	2	ENST00000303577:NA_ENST00000549832:NA	alternate-alternate	3UTR-5UTR	PCBP1,1.0000_ERBB3,0.0118	1	0.0118	no	no	PCBP1__ERBB3	1	13824297	InterChr	InterChr	0.0054	0.0054	0.0035	0.0035	0	1	1	tier3
BRCA	11	TCGA-A7-A13E-11A-61R-A12P-07	ACSL1	UVRAG	4	4q	-1	11	11q	1	2180	7405	2	4	3	1	YES	ACSL1:4:185676755_UVRAG:11:75694431,4	185676755	75694431	4	ENST00000281455:NA_ENST00000356136:700-2100|ENST00000281455:NA_ENST00000528420:397-1797|ENST00000281455:NA_ENST00000531818:NA|ENST00000281455:NA_ENST00000532130:NA|ENST00000281455:NA_ENST00000533454:NA	primary-primary	3UTR-CDS	ACSL1,1.0000_UVRAG,0.0571	1	0.0571	no	no	ACSL1__UVRAG	1	109982324	InterChr	InterChr	-0.0014	-0.0014	5e-04	5e-04	0	1	1	tier3
BRCA	11	TCGA-AC-A2FB-11A-13R-A17B-07	DCN	EIF2AK2	12	12q	-1	2	2p	-1	1634	5610	2	27	19	3	YES	DCN:12:91539303_EIF2AK2:2:37342384,22|DCN:12:91539036_EIF2AK2:2:37342384,4|DCN:12:91539025_EIF2AK2:2:37342384,1	91539303	37342384	22	NA	NA	NA	DCN,1.0000_EIF2AK2,0.3548|DCN,1.0000_EIF2AK2,0.0909|DCN,1.0000_EIF2AK2,0.0244	1	0.3548	no	no	DCN__EIF2AK2	1	54196919	InterChr	InterChr	-0.0025	-0.0025	0.0019	0.0019	0	1	1	tier3
BRCA	11	TCGA-BH-A0BW-11A-12R-A115-07	ZZEF1	MYBBP1A	17	17p	-1	17	17p	-1	23140	10514	7	4	4	1	YES	ZZEF1:17:4027201_MYBBP1A:17:4453648,4	4027201	4453648	4	ENST00000381638:1-499_ENST00000254718:1024-3987|ENST00000381638:1-499_ENST00000381556:1024-3999|ENST00000381638:1-499_ENST00000426435:1024-1812	primary-primary	Out-of-frame	ZZEF1,0.1333_MYBBP1A,0.0656	0.1333	0.0656	no	no	ZZEF1__MYBBP1A	1	426447	Short	Short	0.3609	0.3609	-0.005	-0.005	1	1	1	tier1
BRCA	11	TCGA-BH-A0BW-11A-12R-A115-07	MYH9	CACNG2	22	22q	-1	22	22q	-1	4627	10369	125	79	75	1	PARTIALLY	MYH9:22:36783852_CACNG2:22:36962540,79	36783852	36962540	79	ENST00000216181:NA_ENST00000300105:296-972|ENST00000337818:NA_ENST00000300105:296-972	primary-primary	5UTR-CDS	MYH9,0.1450_CACNG2,1.0000	0.145	1	no	no	MYH9__CACNG2	1	178688	Short	Short	0.4594	0.4594	0.4594	0.4594	1	1	1	tier1
BRCA	11	TCGA-BH-A0BZ-11A-61R-A12P-07	GSN	PLAT	9	9q	1	8	8p	-1	2934	5327	2	16	16	1	YES	GSN:9:124095120_PLAT:8:42051245,16	124095120	42051245	16	NA	NA	NA	GSN,1.0000_PLAT,0.0436	1	0.0436	no	no	GSN__PLAT	1	82043875	InterChr	InterChr	0.0024	0.0024	0.002	0.002	0	1	1	tier3
BRCA	11	TCGA-BH-A0C3-11A-23R-A12P-07	DCN	PLAT	12	12q	-1	8	8p	-1	1634	5327	2	17	15	2	YES	DCN:12:91539303_PLAT:8:42051245,15|DCN:12:91539036_PLAT:8:42051245,2	91539303	42051245	15	NA	NA	NA	DCN,1.0000_PLAT,0.0297|DCN,1.0000_PLAT,0.0041	1	0.0297	no	no	DCN__PLAT	1	49488058	InterChr	InterChr	-0.0022	-0.0022	-0.0014	-0.0014	0	1	1	tier3
BRCA	11	TCGA-BH-A0C3-11A-23R-A12P-07	SPTBN1	EEA1	2	2p	1	12	12q	-1	6711	8411	2	9	7	2	YES	SPTBN1:2:54896812_EEA1:12:93229203,8|SPTBN1:2:54889445_EEA1:12:93229203,1	54896812	93229203	8	NA	NA	NA	SPTBN1,1.0000_EEA1,0.2162|SPTBN1,0.0016_EEA1,0.0333	1	0.2162	no	no	SPTBN1__EEA1	1	38332391	InterChr	InterChr	-4e-04	-4e-04	-0.0022	-0.0022	0	1	1	tier3
BRCA	11	TCGA-BH-A0C3-11A-23R-A12P-07	GSN	IGJ	9	9q	1	4	4q	-1	2934	3512	2	4	3	1	YES	GSN:9:124095016_IGJ:4:71532243,4	124095016	71532243	4	NA	NA	NA	GSN,1.0000_IGJ,0.0135	1	0.0135	no	no	GSN__IGJ	1	52562773	InterChr	InterChr	-0.003	-0.003	0.0022	0.0022	0	1	1	tier3
BRCA	11	TCGA-BH-A0DZ-11A-22R-A089-07	ACTB	YWHAE	7	7p	-1	17	17p	-1	60	7531	2	8	8	1	YES	ACTB:7:5567255_YWHAE:17:1303494,8	5567255	1303494	8	ENST00000400179:NA_ENST00000414131:NA	alternate-alternate	3UTR-5UTR	ACTB,0.0690_YWHAE,1.0000	0.069	1	no	no	ACTB__YWHAE	1	4263761	InterChr	InterChr	-0.0011	-0.0011	-0.032	-0.032	0	1	1	tier3
BRCA	11	TCGA-BH-A0DZ-11A-22R-A089-07	MYO18A	WSB1	17	17q	-1	17	17q	1	399687	26118	7	3	2	3	PARTIALLY	MYO18A:17:27464034_WSB1:17:25631806,1|MYO18A:17:27492960_WSB1:17:25631806,1|MYO18A:17:27464034_WSB1:17:25628814,1	27464034	25631806	1	NA	NA	NA	MYO18A,0.0227_WSB1,0.0256|MYO18A,0.0238_WSB1,0.0256|MYO18A,0.0227_WSB1,0.0323	0.0227	0.0256	no	no	MYO18A__WSB1	1	1832228	Middle	Middle	0.234	0.234	-0.032	0.234	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	PARN	MYO18A	16	16p	-1	17	17q	-1	5073	399687	3	6	6	1	YES	PARN:16:14700341_MYO18A:17:27419474,6	14700341	27419474	6	ENST00000341484:1-519_ENST00000527372:5074-6165|ENST00000341484:1-519_ENST00000531253:5074-6120|ENST00000341484:1-519_ENST00000533112:4963-6009|ENST00000341484:1-519_ENST00000529799:1762-2808|ENST00000341484:1-519_ENST00000354329:5074-6165|ENST00000341484:1-519_ENST00000359450:4963-6009|ENST00000341484:1-519_ENST00000458428:3883-4929|ENST00000341484:1-519_ENST00000540575:1762-2808|ENST00000420015:1-564_ENST00000527372:5074-6165|ENST00000420015:1-564_ENST00000531253:5074-6120|ENST00000420015:1-564_ENST00000533112:4963-6009|ENST00000420015:1-564_ENST00000529799:1762-2808|ENST00000420015:1-564_ENST00000354329:5074-6165|ENST00000420015:1-564_ENST00000359450:4963-6009|ENST00000420015:1-564_ENST00000458428:3883-4929|ENST00000420015:1-564_ENST00000540575:1762-2808|ENST00000437198:1-702_ENST00000527372:5074-6165|ENST00000437198:1-702_ENST00000531253:5074-6120|ENST00000437198:1-702_ENST00000533112:4963-6009|ENST00000437198:1-702_ENST00000529799:1762-2808|ENST00000437198:1-702_ENST00000354329:5074-6165|ENST00000437198:1-702_ENST00000359450:4963-6009|ENST00000437198:1-702_ENST00000458428:3883-4929|ENST00000437198:1-702_ENST00000540575:1762-2808	alternate-primary	In-frame	PARN,0.0492_MYO18A,0.0638	0.0492	0.0638	no	no	PARN__MYO18A	1	12719133	InterChr	InterChr	0.0051	0.0051	-0.0103	-0.0103	0	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	EDEM2	DOK5	20	20q	-1	20	20q	1	55741	55816	3	1	1	1	YES	EDEM2:20:33730176_DOK5:20:53205022,1	33730176	53205022	1	ENST00000374492:1-364_ENST00000262593:175-921|ENST00000374492:1-364_ENST00000395939:NA|ENST00000374491:1-253_ENST00000262593:175-921|ENST00000374491:1-253_ENST00000395939:NA|ENST00000540582:1-241_ENST00000262593:175-921|ENST00000540582:1-241_ENST00000395939:NA|ENST00000541621:NA_ENST00000262593:175-921|ENST00000541621:NA_ENST00000395939:NA|ENST00000542871:NA_ENST00000262593:175-921|ENST00000542871:NA_ENST00000395939:NA	primary-primary	Out-of-frame	EDEM2,0.0119_DOK5,0.1429	0.0119	0.1429	no	no	EDEM2__DOK5	1	19474846	Long	Long	0.08	0.08	0.08	0.08	0	1	1	tier3
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	CERK	SLC25A17	22	22q	-1	22	22q	-1	64781	10478	4	2	2	1	PARTIALLY	CERK:22:47115983_SLC25A17:22:41195087,2	47115983	41195087	2	ENST00000216264:1-379_ENST00000435456:55-924|ENST00000216264:1-379_ENST00000542412:55-705|ENST00000216264:1-379_ENST00000544408:NA|ENST00000541677:NA_ENST00000435456:55-924|ENST00000541677:NA_ENST00000542412:55-705|ENST00000541677:NA_ENST00000544408:NA	primary-primary	Out-of-frame	CERK,0.0377_SLC25A17,0.0171	0.0377	0.0171	no	no	CERK__SLC25A17	1	5920896	Middle	Middle	-0.0246	-0.0246	-0.0246	-0.0246	0	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	GNB1L	DNTTIP1	22	22q	-1	20	20q	1	54584	116092	21	9	9	1	PARTIALLY	GNB1L:22:19841966_DNTTIP1:20:44437753,9	19841966	44437753	9	ENST00000329517:NA_ENST00000372622:724-990|ENST00000403325:NA_ENST00000372622:724-990|ENST00000405009:NA_ENST00000372622:724-990	primary-alternate	5UTR-CDS	GNB1L,0.1957_DNTTIP1,0.0452	0.1957	0.0452	no	no	GNB1L__DNTTIP1	1	24595787	InterChr	InterChr	-0.0246	-0.0246	0.08	0.08	0	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	VAPB	BCL2L1	20	20q	1	20	20q	-1	9217	598	9	7	7	2	YES	VAPB:20:56964573_BCL2L1:20:30310151,5|VAPB:20:56964573_BCL2L1:20:30310133,2	56964573	30310151	5	ENST00000475243:1-58_ENST00000376055:NA|ENST00000475243:1-58_ENST00000307677:NA|ENST00000395802:1-58_ENST00000376055:NA|ENST00000395802:1-58_ENST00000307677:NA	primary-alternate	CDS-5UTR	VAPB,0.0270_BCL2L1,0.0342|VAPB,0.0110_BCL2L1,0.0185	0.027	0.0342	no	no	VAPB__BCL2L1	1	26654422	Long	Long	0.251	0.251	0.08	0.08	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	C20orf43	TSHZ2	20	20q	1	20	20q	1	51507	128553	12	13	10	1	PARTIALLY	C20orf43:20:55059245_TSHZ2:20:52103683,13	55059245	52103683	13	ENST00000023939:1-477_ENST00000371497:NA|ENST00000395881:1-477_ENST00000371497:NA|ENST00000357348:1-567_ENST00000371497:NA	primary-primary	CDS-3UTR	C20orf43,0.0218_TSHZ2,0.2241	0.0218	0.2241	no	no	C20orf43__TSHZ2	1	2955562	Middle	Middle	0.251	0.251	0.08	0.08	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	SLMO2	PTPRT	20	20q	-1	20	20q	-1	51012	11122	5	4	3	1	YES	SLMO2:20:57617754_PTPRT:20:41514572,4	57617754	41514572	4	ENST00000371033:1-32_ENST00000373190:89-4323|ENST00000371033:1-32_ENST00000373187:89-4326|ENST00000371033:1-32_ENST00000373193:89-4335|ENST00000371033:1-32_ENST00000356100:89-4353|ENST00000371033:1-32_ENST00000373198:89-4392|ENST00000371033:1-32_ENST00000373184:89-4356|ENST00000371033:1-32_ENST00000373201:89-4296|ENST00000355937:1-32_ENST00000373190:89-4323|ENST00000355937:1-32_ENST00000373187:89-4326|ENST00000355937:1-32_ENST00000373193:89-4335|ENST00000355937:1-32_ENST00000356100:89-4353|ENST00000355937:1-32_ENST00000373198:89-4392|ENST00000355937:1-32_ENST00000373184:89-4356|ENST00000355937:1-32_ENST00000373201:89-4296	primary-primary	Out-of-frame	SLMO2,0.0124_PTPRT,1.0000	0.0124	1	no	no	SLMO2__PTPRT	1	16103182	Long	Long	0.251	0.251	0.08	0.08	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	EIF4ENIF1	SHANK3	22	22q	-1	22	22q	1	56478	85358	4	4	2	1	YES	EIF4ENIF1:22:31864161_SHANK3:22:51153345,4	31864161	51153345	4	ENST00000344710:1-298_ENST00000262795:2183-5244|ENST00000344710:1-298_ENST00000445220:2141-5229|ENST00000330125:1-298_ENST00000262795:2183-5244|ENST00000330125:1-298_ENST00000445220:2141-5229|ENST00000397525:1-298_ENST00000262795:2183-5244|ENST00000397525:1-298_ENST00000445220:2141-5229|ENST00000397523:1-298_ENST00000262795:2183-5244|ENST00000397523:1-298_ENST00000445220:2141-5229	primary-alternate	In-frame	EIF4ENIF1,0.1053_SHANK3,0.1212	0.1053	0.1212	no	no	EIF4ENIF1__SHANK3	1	19289184	Long	Long	-0.0246	-0.0246	NA	NA	NA	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	TAF4	LARGE	20	20q	-1	22	22q	-1	6874	9215	4	3	3	1	YES	TAF4:20:60585102_LARGE:22:34157545,3	60585102	34157545	3	ENST00000252996:1-1761_ENST00000354992:NA|ENST00000252996:1-1761_ENST00000402320:NA|ENST00000252996:1-1761_ENST00000337431:NA|ENST00000252996:1-1761_ENST00000397394:NA|ENST00000252996:1-1761_ENST00000437602:NA	primary-primary	CDS-5UTR	TAF4,0.0857_LARGE,0.0909	0.0857	0.0909	no	no	TAF4__LARGE	1	26427557	InterChr	InterChr	0.251	0.251	-0.0246	-0.0246	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	ARFGAP1	UQCC	20	20q	1	20	20q	-1	55738	55245	3	3	3	2	YES	ARFGAP1:20:61904272_UQCC:20:33981999,2|ARFGAP1:20:61906992_UQCC:20:33981999,1	61904272	33981999	2	ENST00000370283:NA_ENST00000397554:25-666|ENST00000370283:NA_ENST00000359226:25-660|ENST00000370283:NA_ENST00000374385:25-900|ENST00000370283:NA_ENST00000374384:25-822|ENST00000370283:NA_ENST00000349714:25-819|ENST00000370283:NA_ENST00000374380:25-696|ENST00000370283:NA_ENST00000374377:NA|ENST00000370283:NA_ENST00000407996:25-489|ENST00000370283:NA_ENST00000542501:25-447|ENST00000353546:NA_ENST00000397554:25-666|ENST00000353546:NA_ENST00000359226:25-660|ENST00000353546:NA_ENST00000374385:25-900|ENST00000353546:NA_ENST00000374384:25-822|ENST00000353546:NA_ENST00000349714:25-819|ENST00000353546:NA_ENST00000374380:25-696|ENST00000353546:NA_ENST00000374377:NA|ENST00000353546:NA_ENST00000407996:25-489|ENST00000353546:NA_ENST00000542501:25-447|ENST00000370275:NA_ENST00000397554:25-666|ENST00000370275:NA_ENST00000359226:25-660|ENST00000370275:NA_ENST00000374385:25-900|ENST00000370275:NA_ENST00000374384:25-822|ENST00000370275:NA_ENST00000349714:25-819|ENST00000370275:NA_ENST00000374380:25-696|ENST00000370275:NA_ENST00000374377:NA|ENST00000370275:NA_ENST00000407996:25-489|ENST00000370275:NA_ENST00000542501:25-447|ENST00000547204:NA_ENST00000397554:25-666|ENST00000547204:NA_ENST00000359226:25-660|ENST00000547204:NA_ENST00000374385:25-900|ENST00000547204:NA_ENST00000374384:25-822|ENST00000547204:NA_ENST00000349714:25-819|ENST00000547204:NA_ENST00000374380:25-696|ENST00000547204:NA_ENST00000374377:NA|ENST00000547204:NA_ENST00000407996:25-489|ENST00000547204:NA_ENST00000542501:25-447|ENST00000519273:NA_ENST00000397554:25-666|ENST00000519273:NA_ENST00000359226:25-660|ENST00000519273:NA_ENST00000374385:25-900|ENST00000519273:NA_ENST00000374384:25-822|ENST00000519273:NA_ENST00000349714:25-819|ENST00000519273:NA_ENST00000374380:25-696|ENST00000519273:NA_ENST00000374377:NA|ENST00000519273:NA_ENST00000407996:25-489|ENST00000519273:NA_ENST00000542501:25-447|ENST00000519604:NA_ENST00000397554:25-666|ENST00000519604:NA_ENST00000359226:25-660|ENST00000519604:NA_ENST00000374385:25-900|ENST00000519604:NA_ENST00000374384:25-822|ENST00000519604:NA_ENST00000349714:25-819|ENST00000519604:NA_ENST00000374380:25-696|ENST00000519604:NA_ENST00000374377:NA|ENST00000519604:NA_ENST00000407996:25-489|ENST00000519604:NA_ENST00000542501:25-447	primary-alternate	5UTR-CDS	ARFGAP1,0.0426_UQCC,0.0244|ARFGAP1,0.0100_UQCC,0.0123	0.0426	0.0244	no	no	ARFGAP1__UQCC	1	27922273	Long	Long	0.1547	0.1547	0.08	0.08	0	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	USP34	GKN1	2	2p	-1	2	2p	1	9736	56287	2	3	3	1	YES	USP34:2:61483519_GKN1:2:69204627,3	61483519	69204627	3	ENST00000398571:1-6221_ENST00000377938:55-600|ENST00000263989:1-5765_ENST00000377938:55-600|ENST00000398569:1-5765_ENST00000377938:55-600	primary-primary	Out-of-frame	USP34,0.0789_GKN1,1.0000	0.0789	1	no	no	USP34__GKN1	1	7721108	Middle	Middle	-0.0058	-0.0058	-0.0058	-0.0058	0	1	1	tier3
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	SPECC1L	TH1L	22	22q	1	20	20q	1	23384	51497	8	21	20	2	PARTIALLY	SPECC1L:22:24666951_TH1L:20:57561148,18|SPECC1L:22:24672771_TH1L:20:57561148,3	24666951	57561148	18	ENST00000314328:NA_ENST00000344018:88-1773|ENST00000437398:NA_ENST00000344018:88-1773|ENST00000541492:NA_ENST00000344018:88-1773	primary-alternate	5UTR-CDS	SPECC1L,0.3273_TH1L,0.1029|SPECC1L,0.0536_TH1L,0.0187	0.3273	0.1029	no	no	SPECC1L__TH1L	1	32894197	InterChr	InterChr	-0.0246	-0.0246	0.251	0.251	1	1	1	tier1
BRCA	11	TCGA-BH-A0H7-11A-13R-A089-07	STIM1	HOMEZ	11	11p	1	14	14q	-1	6786	57594	5	9	9	1	YES	STIM1:11:4045217_HOMEZ:14:23746396,9	4045217	23746396	9	ENST00000300737:1-385_ENST00000357460:41-1653|ENST00000300737:1-385_ENST00000431326:47-1659|ENST00000527651:1-385_ENST00000357460:41-1653|ENST00000527651:1-385_ENST00000431326:47-1659	primary-alternate	In-frame	STIM1,0.0533_HOMEZ,0.3000	0.0533	0.3	no	no	STIM1__HOMEZ	1	19701179	InterChr	InterChr	0.0267	0.0267	-0.0275	-0.0275	0	1	1	tier1
BRCA	11	TCGA-BH-A18J-11A-31R-A12D-07	AGPAT6	ADAM32	8	8p	1	8	8p	1	137964	203102	24	21	20	2	PARTIALLY	AGPAT6:8:41456823_ADAM32:8:39079129,12|AGPAT6:8:41456823_ADAM32:8:39080559,9	41456823	39079129	12	ENST00000396987:1-165_ENST00000379907:1234-2364|ENST00000396987:1-165_ENST00000519315:916-1890|ENST00000396987:1-165_ENST00000437682:937-2067	primary-primary	In-frame	AGPAT6,0.0609_ADAM32,0.9231|AGPAT6,0.0464_ADAM32,0.1475	0.0609	0.9231	no	no	AGPAT6__ADAM32	1	2377694	Middle	Middle	0.3238	0.3238	-0.0451	-0.0451	1	1	1	tier1
